Sample ID,Rock ID,Class,Orientation,Perimeter,Area,Axis Major Length,Axis Minor Length,Mean Height,Median Height,Max Height,STD Height,Mean Gradient,STD Gradient,Gradient at Max,Weighted Hu Moment 1,Weighted Hu Moment 2,Weighted Hu Moment 3,Weighted Hu Moment 4
2,74,12,-0.7030773565392395,94.5685424949238,545,37.159719517852785,18.813544266371423,5.562,6.035,11.09375,3.182,1.7457789,1.7506773,0.12054121,0.029504955283285908,0.0003889263114863332,4.4541792974482585e-07,7.4311090329585e-07
2,75,12,-0.008969524050335999,76.76955262170047,363,27.461878731402308,17.667665242453964,5.38,5.96,8.9609375,2.982,1.9121889,1.3510008,0.22351125,0.024344896791940785,9.942156377222295e-05,1.877881819739526e-06,2.198617792921824e-08
2,76,12,1.135768016772832,59.698484809834994,259,20.279241673202804,16.35583618831286,4.535,3.918,9.1328125,2.998,1.8562201,1.5305425,3.0535433,0.025082977179015285,2.5656165768885956e-05,7.955968711340757e-07,7.318458044493193e-07
2,77,12,0.6832365521710139,86.91168824543142,487,28.472923435044237,22.348781663552426,8.07,8.766,14.3203125,4.496,2.4242272,2.2886083,1.4183575,0.015522546887058754,1.777142822967086e-05,2.7735633884323077e-07,1.0069577173927338e-07
2,78,12,1.1310477012621873,61.11269837220809,268,19.287446934487097,18.3102748805267,3.738,2.826,8.9609375,2.56,1.6965777,1.3370422,1.6663789,0.031288264518027825,9.365206882197313e-06,3.6711036393949935e-06,8.245889809367205e-08
2,79,12,1.5491114114983568,60.526911934581186,243,22.72408683172833,13.667569334978939,4.484,4.004,10.75,3.162,2.227256,1.6414645,2.455659,0.029982548894193477,0.00033284929669466783,4.6129439241178445e-07,3.196644585189356e-07
2,80,12,-1.4510615279649515,74.42640687119285,359,25.145270346714696,18.43345481210273,2.182,2.418,5.19921875,0.958,0.70008177,0.7369912,1.5892273,0.06768732605415403,0.0006550669848776077,1.1666030125423172e-05,8.623542864845454e-08
2,81,12,-1.4625685006937506,63.11269837220809,273,21.115821703150498,16.568524811053013,4.387,4.336,8.484375,2.877,1.764635,1.4085407,3.753077,0.025484375678402997,4.405158138586098e-05,3.70483599024598e-07,4.036919167068746e-07
2,82,12,-0.6943471420418159,68.52691193458118,320,22.49524504817499,18.476963196709534,5.867,7.395,8.3359375,2.791,1.8555924,1.848523,0.71966755,0.022075720559632948,2.4131528052211596e-05,8.462889569412843e-07,1.976125489919122e-09
2,83,12,1.1317747217116865,81.73401871576773,453,28.763551211366444,20.357502490155035,8.6,8.42,13.9765625,4.758,2.5973487,2.057322,0.02627661,0.01457943979328178,3.683234365720044e-05,3.452714347497125e-08,1.3519470668108693e-09
2,84,12,1.4026892538745657,56.04163056034261,205,19.26315017809383,14.3421429863971,5.754,7.395,8.8046875,2.719,1.9545711,1.870018,5.496316,0.025621701862619695,0.0001045962331822981,3.770228163185383e-06,2.785426553207569e-07
2,85,12,0.6467637350556333,64.76955262170047,302,21.889293846447558,17.831299953798432,6.25,7.395,12.265625,3.393,2.3174944,1.9109155,0.9703396,0.019345769859185825,1.40956219209662e-05,3.604131293340109e-07,1.90032075049055e-08
2,86,12,-1.0382216047303352,111.63961030678928,651,44.38316889137256,19.58420614616638,6.777,6.703,15.2734375,3.799,2.2546313,2.1780312,1.1815437,0.03152510493645003,0.000555610773725568,6.348596063875781e-06,3.4992330697052793e-06
2,87,12,-1.144994102802006,75.59797974644667,367,26.914330771038593,17.95489328873954,5.586,6.758,10.8125,2.635,1.7999697,1.689221,0.65985066,0.026937013458196053,0.00015296233113946392,3.1655507029423452e-06,1.2155214491416475e-07
2,88,12,0.3024739835313695,79.59797974644667,426,27.719277265197526,20.003007791822704,5.277,6.293,11.578125,2.629,1.6634939,1.3630962,2.1475518,0.024550735043278767,5.275434548444098e-05,1.1996398437045545e-06,2.958452581202586e-09
2,89,12,-0.16072245728301912,79.35533905932736,461,26.779082128850508,22.265272508906154,8.86,10.68,13.265625,4.145,2.390141,2.3742976,2.242903,0.014882016668826272,1.9419547382010573e-05,1.0461844306434066e-07,1.8113245639488889e-09
2,90,12,-1.462759810902687,69.69848480983501,342,25.979309918645797,16.790290884019058,5.348,6.293,11.0703125,2.744,1.7909442,1.4676232,1.1636758,0.026036146901149658,0.00015210539256118856,5.3657112948749856e-08,4.0837890654196205e-08
2,91,12,-1.1761566567394701,69.11269837220809,355,23.22775106745965,19.61358000564283,5.902,5.336,11.6328125,3.346,2.1483443,2.0695026,1.018485,0.02194977645353329,2.3982715161127514e-05,5.133109585393675e-08,1.774796329543436e-07
2,92,12,0.38417761357625385,45.798989873223334,146,15.18421489471905,12.55347521625371,8.95,11.12,16.75,5.6,4.40652,2.6344602,0.43684557,0.013720939554287031,2.7835776470809013e-05,2.1335854522592303e-07,9.382514169962432e-10
2,93,12,1.2026833949886162,77.25483399593904,395,27.411375085420637,18.586472105936167,8.195,10.78,14.4921875,4.227,2.5569656,2.5894735,1.7789754,0.016902591326867042,5.703409387840269e-05,2.3602198176840278e-07,2.611151016683315e-08
2,94,12,1.0136940640116472,68.76955262170047,325,24.634499172459414,17.029387397598338,8.695,10.78,11.5859375,3.906,2.6563544,2.9822319,8.504348,0.016338080407418895,3.968309390105155e-05,1.9226680730046818e-07,1.868475910096826e-08
2,95,12,-0.8075848239608382,67.49747468305833,307,22.239563055763863,18.02092691825019,8.195,10.46,11.5,4.06,2.6944253,2.8655515,8.649609,0.016658319959491782,2.8181139145728963e-05,2.745036213232588e-07,1.826126432410533e-08
2,96,12,-1.2030565375696567,76.18376618407356,380,29.448021701257865,16.546044246559816,5.582,5.156,10.78125,3.031,1.8299296,1.4777242,0.09860864,0.02796221740289955,0.00029976111897719735,8.596081590095835e-08,7.340632029335264e-07
2,97,12,1.2282691273843507,33.656854249492376,89,11.779943865046702,9.788844905635942,8.05,9.945,16.375,5.19,4.0531282,2.5043852,2.4627118,0.014386642090138502,1.3969880096215204e-05,2.9639746298118323e-08,2.7246901249740575e-08
